,P1,P2,output_KNN_K5
0,838,889,1
1,905,1330,1
2,859,875,1
3,861,874,1
4,857,869,1
5,1249,1266,0
6,903,1312,1
7,932,1347,1
8,936,1342,1
9,829,882,1
10,846,894,1
11,938,1305,1
12,835,876,1
13,902,1314,1
14,943,1341,1
15,935,1330,1
16,920,1350,1
17,936,1316,1
18,927,1326,1
19,933,1334,1
20,863,898,1
21,1234,1271,0
22,842,898,1
23,909,1345,1
24,907,1306,1
25,1254,1272,0
26,829,887,1
27,860,879,1
28,923,1317,1
29,839,879,1
30,841,876,1
31,831,876,1
32,1240,1283,0
33,1237,1275,0
34,933,1321,1
35,902,1337,1
36,1228,1269,0
37,924,1317,1
38,937,1331,1
39,920,1308,1
40,916,1337,1
41,915,1323,1
42,937,1315,1
43,929,1309,1
44,1248,1266,0
45,946,1304,1
46,912,1303,1
47,841,866,1
48,943,1331,1
49,1263,1282,0
50,846,875,1
51,861,892,1
52,1247,1267,0
53,907,1317,1
54,1243,1298,0
55,1247,1280,0
56,832,872,1
57,847,890,1
58,1225,1278,0
59,1228,1279,0
60,1237,1295,0
61,915,1337,1
62,901,1304,1
63,939,1302,1
64,856,882,1
65,905,1307,1
66,842,894,1
67,841,888,1
68,933,1303,1
69,1238,1293,0
70,1237,1277,0
71,832,883,1
72,829,876,1
73,1228,1284,0
74,926,1325,1
75,915,1301,1
76,1225,1268,0
77,907,1303,1
78,1231,1291,0
79,914,1315,1
80,921,1320,1
81,912,1320,1
82,852,885,1
83,1229,1292,0
84,912,1345,1
85,928,1326,1
86,905,1350,1
87,911,1305,1
88,932,1349,1
89,903,1309,1
90,935,1319,1
91,945,1341,1
92,829,884,1
93,1249,1272,0
94,1247,1291,0
95,926,1319,1
96,930,1307,1
97,1250,1290,0
98,863,893,1
99,924,1348,1
100,862,870,1
101,940,1322,1
102,1239,1268,0
103,1231,1296,0
104,929,1339,1
105,907,1332,1
106,939,1338,1
107,858,899,1
108,945,1328,1
109,936,1315,1
110,901,1342,1
111,1243,1294,0
112,1230,1290,0
113,903,1306,1
114,917,1320,1
115,850,871,1
116,1225,1286,0
117,941,1338,1
118,1237,1282,0
119,927,1342,1
120,922,1310,1
121,943,1301,1
122,850,886,1
123,902,1348,1
124,862,886,1
125,862,893,1
126,906,1339,1
127,917,1303,1
128,916,1346,1
129,1238,1284,0
130,926,1337,1
131,849,898,1
132,917,1333,1
133,864,887,1
134,1264,1291,0
135,837,886,1
136,859,879,1
137,1229,1280,0
138,859,893,1
139,939,1318,1
140,848,878,1
141,919,1331,1
142,832,898,1
143,1263,1280,0
144,917,1341,1
145,1232,1279,0
146,908,1337,1
147,916,1321,1
148,1244,1287,0
149,934,1304,1
150,911,1308,1
151,913,1310,1
152,912,1312,1
153,1264,1296,0
154,902,1333,1
155,906,1323,1
156,929,1345,1
157,914,1326,1
158,927,1329,1
159,914,1334,1
160,829,868,1
161,828,890,1
162,1247,1295,0
163,932,1319,1
164,933,1313,1
165,861,873,1
166,864,876,1
167,917,1347,1
168,1231,1298,0
169,939,1342,1
170,828,879,1
171,831,893,1
172,1237,1283,0
173,1248,1292,0
174,902,1313,1
175,901,1325,1
176,861,872,1
177,913,1329,1
178,852,877,1
179,1233,1278,0
180,928,1328,1
181,863,881,1
182,843,875,1
183,833,867,1
184,935,1320,1
185,922,1335,1
186,1231,1287,0
187,934,1350,1
188,906,1332,1
189,911,1333,1
190,1238,1295,0
191,861,888,1
192,907,1316,1
193,935,1317,1
194,925,1345,1
195,922,1315,1
196,921,1307,1
197,833,876,1
198,905,1310,1
199,838,894,1
200,826,887,1
201,926,1331,1
202,828,871,1
203,1254,1267,0
204,1229,1272,0
205,938,1301,1
206,916,1341,1
207,929,1335,1
208,919,1341,1
209,855,881,1
210,946,1323,1
211,839,868,1
212,932,1338,1
213,842,868,1
214,912,1311,1
215,915,1307,1
216,930,1302,1
217,840,875,1
218,902,1302,1
219,1255,1270,0
220,1225,1266,0
221,1240,1269,0
222,1253,1277,0
223,936,1305,1
224,904,1326,1
225,910,1331,1
226,902,1309,1
227,844,886,1
228,856,896,1
229,845,890,1
230,849,867,1
231,857,888,1
232,1252,1295,0
233,921,1317,1
234,905,1349,1
235,932,1339,1
236,1264,1283,0
237,854,866,1
238,935,1348,1
239,938,1332,1
240,911,1315,1
241,929,1330,1
242,1240,1271,0
243,1234,1299,0
244,914,1331,1
